LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10933,variable_unused,Symbol only in AGOT+ effective text,color,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:294 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:529 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:756 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:983 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1210 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1437 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1664,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'color' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10934,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Strong_28_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2487,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Strong_28_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10935,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Hightower_90_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2069,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Hightower_90_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10936,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Martell_4_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2279,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Martell_4_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10937,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Greyjoy_5_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2564,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Greyjoy_5_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10938,variable_unused,Symbol only in AGOT+ effective text,color_grading,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:289 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:524 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:751 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:978 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1205 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1432 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:1659,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'color_grading' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10939,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Velaryon_31_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1232,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Velaryon_31_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10940,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Tully_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2389,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Tully_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10941,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Tully_9_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2400,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Tully_9_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10942,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Dayne_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2323,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Dayne_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10943,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Tarly_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2213,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Tarly_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10944,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_29_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:33,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_29_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10945,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Lannister_129_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1824,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Lannister_129_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
